frame,confidence,model
0,0.9838753938674927,Caffe SSD
0,0.9786460995674133,Caffe SSD
0,0.11298900097608566,Caffe SSD
0,0.1027732715010643,Caffe SSD
0,0.10112205892801285,Caffe SSD
1,0.9878629446029663,Caffe SSD
1,0.9828458428382874,Caffe SSD
1,0.11933916062116623,Caffe SSD
1,0.10361998528242111,Caffe SSD
1,0.10333932936191559,Caffe SSD
2,0.9928521513938904,Caffe SSD
2,0.9812865853309631,Caffe SSD
2,0.10805624723434448,Caffe SSD
2,0.10716524720191956,Caffe SSD
2,0.10459572821855545,Caffe SSD
2,0.10417215526103973,Caffe SSD
2,0.10252497345209122,Caffe SSD
2,0.10025332868099213,Caffe SSD
3,0.9932870268821716,Caffe SSD
3,0.9864094257354736,Caffe SSD
3,0.11159409582614899,Caffe SSD
3,0.10973604768514633,Caffe SSD
3,0.10371842980384827,Caffe SSD
4,0.9923321008682251,Caffe SSD
4,0.989153265953064,Caffe SSD
4,0.11135631054639816,Caffe SSD
4,0.10724608600139618,Caffe SSD
4,0.10040707886219025,Caffe SSD
4,0.10009041428565979,Caffe SSD
5,0.991346538066864,Caffe SSD
5,0.990481972694397,Caffe SSD
5,0.10900361835956573,Caffe SSD
5,0.10669645667076111,Caffe SSD
6,0.9925997257232666,Caffe SSD
6,0.9894967079162598,Caffe SSD
6,0.11180467903614044,Caffe SSD
6,0.11121857911348343,Caffe SSD
7,0.9935575127601624,Caffe SSD
7,0.9878301024436951,Caffe SSD
7,0.11700933426618576,Caffe SSD
7,0.11311011016368866,Caffe SSD
7,0.10454421490430832,Caffe SSD
8,0.9933977127075195,Caffe SSD
8,0.9916797280311584,Caffe SSD
8,0.10767058283090591,Caffe SSD
8,0.10310307145118713,Caffe SSD
8,0.10170584172010422,Caffe SSD
9,0.9928228855133057,Caffe SSD
9,0.9924919009208679,Caffe SSD
9,0.11156069487333298,Caffe SSD
9,0.10909631848335266,Caffe SSD
9,0.10329189896583557,Caffe SSD
10,0.9938198924064636,Caffe SSD
10,0.9895575642585754,Caffe SSD
10,0.11664418131113052,Caffe SSD
10,0.10965026915073395,Caffe SSD
10,0.10408562421798706,Caffe SSD
10,0.10196501761674881,Caffe SSD
11,0.9926339983940125,Caffe SSD
11,0.9863705635070801,Caffe SSD
11,0.11319226771593094,Caffe SSD
11,0.10505648702383041,Caffe SSD
11,0.10061557590961456,Caffe SSD
12,0.9947201013565063,Caffe SSD
12,0.9865444302558899,Caffe SSD
12,0.10305796563625336,Caffe SSD
12,0.10222990065813065,Caffe SSD
13,0.993722140789032,Caffe SSD
13,0.9911778569221497,Caffe SSD
13,0.1040988489985466,Caffe SSD
13,0.10343030840158463,Caffe SSD
13,0.10157626867294312,Caffe SSD
13,0.10129332542419434,Caffe SSD
13,0.10058701038360596,Caffe SSD
14,0.9938722848892212,Caffe SSD
14,0.991751492023468,Caffe SSD
14,0.11187326163053513,Caffe SSD
14,0.10804527252912521,Caffe SSD
14,0.10601072758436203,Caffe SSD
14,0.1052454486489296,Caffe SSD
14,0.10292180627584457,Caffe SSD
15,0.9944960474967957,Caffe SSD
15,0.9906444549560547,Caffe SSD
15,0.11490849405527115,Caffe SSD
15,0.10621757805347443,Caffe SSD
15,0.10601723194122314,Caffe SSD
15,0.10537628084421158,Caffe SSD
15,0.10359752923250198,Caffe SSD
15,0.10020961612462997,Caffe SSD
16,0.9945845007896423,Caffe SSD
16,0.9898685216903687,Caffe SSD
16,0.10636541247367859,Caffe SSD
16,0.10389372706413269,Caffe SSD
16,0.10103925317525864,Caffe SSD
17,0.9939776659011841,Caffe SSD
17,0.9809330701828003,Caffe SSD
17,0.10493061691522598,Caffe SSD
17,0.10347532480955124,Caffe SSD
18,0.992557168006897,Caffe SSD
18,0.9721094965934753,Caffe SSD
18,0.10671013593673706,Caffe SSD
18,0.10188792645931244,Caffe SSD
18,0.10126081854104996,Caffe SSD
19,0.9926648736000061,Caffe SSD
19,0.9753860831260681,Caffe SSD
19,0.10444101691246033,Caffe SSD
19,0.10128673166036606,Caffe SSD
20,0.9935732483863831,Caffe SSD
20,0.978663444519043,Caffe SSD
20,0.10991016030311584,Caffe SSD
20,0.10319925099611282,Caffe SSD
21,0.995098888874054,Caffe SSD
21,0.9701275825500488,Caffe SSD
21,0.10576644539833069,Caffe SSD
21,0.10063578188419342,Caffe SSD
22,0.9954505562782288,Caffe SSD
22,0.966174840927124,Caffe SSD
22,0.1411273330450058,Caffe SSD
22,0.11013025790452957,Caffe SSD
22,0.10573731362819672,Caffe SSD
23,0.9939898252487183,Caffe SSD
23,0.9637002944946289,Caffe SSD
23,0.11065980046987534,Caffe SSD
23,0.10985977202653885,Caffe SSD
23,0.10299351811408997,Caffe SSD
24,0.9928306937217712,Caffe SSD
24,0.9638801217079163,Caffe SSD
24,0.10769745707511902,Caffe SSD
25,0.9900872111320496,Caffe SSD
25,0.9608108401298523,Caffe SSD
25,0.11162307113409042,Caffe SSD
25,0.10412989556789398,Caffe SSD
25,0.10089515149593353,Caffe SSD
25,0.10079777240753174,Caffe SSD
26,0.99186110496521,Caffe SSD
26,0.9618454575538635,Caffe SSD
26,0.11100846529006958,Caffe SSD
26,0.10149247199296951,Caffe SSD
27,0.9886813163757324,Caffe SSD
27,0.9619494676589966,Caffe SSD
27,0.11478270590305328,Caffe SSD
28,0.9896370768547058,Caffe SSD
28,0.9530904293060303,Caffe SSD
28,0.11267642676830292,Caffe SSD
28,0.10506846010684967,Caffe SSD
29,0.9867729544639587,Caffe SSD
29,0.9647735953330994,Caffe SSD
29,0.11167603731155396,Caffe SSD
29,0.10778535157442093,Caffe SSD
29,0.10632729530334473,Caffe SSD
30,0.983176589012146,Caffe SSD
30,0.9764971733093262,Caffe SSD
30,0.11981501430273056,Caffe SSD
30,0.11413542926311493,Caffe SSD
30,0.10217607021331787,Caffe SSD
30,0.1003509908914566,Caffe SSD
31,0.9862456321716309,Caffe SSD
31,0.981916069984436,Caffe SSD
31,0.12527595460414886,Caffe SSD
31,0.11283735185861588,Caffe SSD
32,0.9880473613739014,Caffe SSD
32,0.9877259135246277,Caffe SSD
32,0.11943812668323517,Caffe SSD
32,0.10439037531614304,Caffe SSD
32,0.10351375490427017,Caffe SSD
32,0.10057675093412399,Caffe SSD
33,0.9912569522857666,Caffe SSD
33,0.9897587299346924,Caffe SSD
33,0.10850335657596588,Caffe SSD
33,0.10681063681840897,Caffe SSD
33,0.10185431689023972,Caffe SSD
33,0.10082738101482391,Caffe SSD
33,0.10037694871425629,Caffe SSD
34,0.9939541220664978,Caffe SSD
34,0.9907404184341431,Caffe SSD
34,0.11297404766082764,Caffe SSD
34,0.11250421404838562,Caffe SSD
34,0.10766984522342682,Caffe SSD
35,0.9928332567214966,Caffe SSD
35,0.992643415927887,Caffe SSD
35,0.13213381171226501,Caffe SSD
35,0.12419763207435608,Caffe SSD
35,0.11849211156368256,Caffe SSD
36,0.9938849806785583,Caffe SSD
36,0.9918312430381775,Caffe SSD
36,0.13399770855903625,Caffe SSD
36,0.12999017536640167,Caffe SSD
36,0.11522264033555984,Caffe SSD
37,0.9951006770133972,Caffe SSD
37,0.993448793888092,Caffe SSD
37,0.13396073877811432,Caffe SSD
37,0.12553834915161133,Caffe SSD
37,0.10568416118621826,Caffe SSD
37,0.10160475969314575,Caffe SSD
38,0.9960967898368835,Caffe SSD
38,0.9936304688453674,Caffe SSD
38,0.14040133357048035,Caffe SSD
38,0.1023431122303009,Caffe SSD
38,0.10109243541955948,Caffe SSD
39,0.9967591166496277,Caffe SSD
39,0.9899274706840515,Caffe SSD
39,0.20187385380268097,Caffe SSD
39,0.10363384336233139,Caffe SSD
40,0.9973894953727722,Caffe SSD
40,0.9888595342636108,Caffe SSD
40,0.17335490882396698,Caffe SSD
40,0.10435228794813156,Caffe SSD
41,0.9973452687263489,Caffe SSD
41,0.9927559494972229,Caffe SSD
41,0.14971691370010376,Caffe SSD
41,0.12014903873205185,Caffe SSD
41,0.1052004024386406,Caffe SSD
42,0.9977637529373169,Caffe SSD
42,0.9914131164550781,Caffe SSD
42,0.20124678313732147,Caffe SSD
42,0.106669120490551,Caffe SSD
42,0.10542134195566177,Caffe SSD
42,0.10457863658666611,Caffe SSD
42,0.10308142006397247,Caffe SSD
43,0.9979357719421387,Caffe SSD
43,0.9844313263893127,Caffe SSD
43,0.20679053664207458,Caffe SSD
43,0.10690142214298248,Caffe SSD
43,0.10453315079212189,Caffe SSD
43,0.1037883311510086,Caffe SSD
43,0.10302658379077911,Caffe SSD
44,0.9982513785362244,Caffe SSD
44,0.9819961786270142,Caffe SSD
44,0.20827969908714294,Caffe SSD
44,0.12085220217704773,Caffe SSD
44,0.11051460355520248,Caffe SSD
44,0.10723701119422913,Caffe SSD
44,0.10340413451194763,Caffe SSD
44,0.10208038240671158,Caffe SSD
45,0.9981162548065186,Caffe SSD
45,0.9743137955665588,Caffe SSD
45,0.2593199610710144,Caffe SSD
45,0.12721721827983856,Caffe SSD
45,0.10909301042556763,Caffe SSD
45,0.10500160604715347,Caffe SSD
45,0.10405909270048141,Caffe SSD
46,0.9979640245437622,Caffe SSD
46,0.9730737209320068,Caffe SSD
46,0.31336838006973267,Caffe SSD
46,0.10443133115768433,Caffe SSD
46,0.10376028716564178,Caffe SSD
46,0.10313002020120621,Caffe SSD
46,0.10127594321966171,Caffe SSD
47,0.9982159733772278,Caffe SSD
47,0.966903567314148,Caffe SSD
47,0.28687143325805664,Caffe SSD
47,0.10405611991882324,Caffe SSD
47,0.10274083912372589,Caffe SSD
47,0.10253553837537766,Caffe SSD
47,0.10148830711841583,Caffe SSD
47,0.10139450430870056,Caffe SSD
48,0.9981915354728699,Caffe SSD
48,0.9585471153259277,Caffe SSD
48,0.276592880487442,Caffe SSD
48,0.13783316314220428,Caffe SSD
48,0.1194564551115036,Caffe SSD
48,0.10676299780607224,Caffe SSD
48,0.10227883607149124,Caffe SSD
48,0.1016385480761528,Caffe SSD
49,0.99809330701828,Caffe SSD
49,0.958781898021698,Caffe SSD
49,0.26249998807907104,Caffe SSD
49,0.11386097222566605,Caffe SSD
49,0.10664547234773636,Caffe SSD
49,0.1059887707233429,Caffe SSD
49,0.105958491563797,Caffe SSD
49,0.10081465542316437,Caffe SSD
50,0.9979605674743652,Caffe SSD
50,0.9477056264877319,Caffe SSD
50,0.3995470702648163,Caffe SSD
50,0.10576455295085907,Caffe SSD
51,0.9978214502334595,Caffe SSD
51,0.8587062954902649,Caffe SSD
51,0.3093366324901581,Caffe SSD
51,0.1051594540476799,Caffe SSD
52,0.9978137016296387,Caffe SSD
52,0.7261298894882202,Caffe SSD
52,0.26562586426734924,Caffe SSD
52,0.10413829237222672,Caffe SSD
52,0.10108405351638794,Caffe SSD
53,0.9977387189865112,Caffe SSD
53,0.7388842701911926,Caffe SSD
53,0.26127898693084717,Caffe SSD
53,0.10405334830284119,Caffe SSD
54,0.9976471066474915,Caffe SSD
54,0.8363569378852844,Caffe SSD
54,0.26331666111946106,Caffe SSD
54,0.10314668715000153,Caffe SSD
54,0.10062010586261749,Caffe SSD
55,0.9977733492851257,Caffe SSD
55,0.8588503003120422,Caffe SSD
55,0.21127378940582275,Caffe SSD
55,0.10875684022903442,Caffe SSD
55,0.10272037982940674,Caffe SSD
56,0.9978471994400024,Caffe SSD
56,0.8918164372444153,Caffe SSD
56,0.21790510416030884,Caffe SSD
56,0.11904191225767136,Caffe SSD
56,0.1032179743051529,Caffe SSD
57,0.9979004859924316,Caffe SSD
57,0.8874107599258423,Caffe SSD
57,0.20263099670410156,Caffe SSD
57,0.10169603675603867,Caffe SSD
57,0.10002943873405457,Caffe SSD
58,0.9979571104049683,Caffe SSD
58,0.8742756843566895,Caffe SSD
58,0.17605410516262054,Caffe SSD
58,0.11510792374610901,Caffe SSD
58,0.10557542741298676,Caffe SSD
58,0.1031980812549591,Caffe SSD
58,0.101378433406353,Caffe SSD
58,0.10087287425994873,Caffe SSD
59,0.9980379939079285,Caffe SSD
59,0.8610489368438721,Caffe SSD
59,0.16096559166908264,Caffe SSD
59,0.11124193668365479,Caffe SSD
59,0.10427962988615036,Caffe SSD
59,0.10006420314311981,Caffe SSD
60,0.9979979395866394,Caffe SSD
60,0.9113832116127014,Caffe SSD
60,0.16433964669704437,Caffe SSD
60,0.10668982565402985,Caffe SSD
60,0.10373962670564651,Caffe SSD
60,0.10148070007562637,Caffe SSD
60,0.10101104527711868,Caffe SSD
61,0.9977577328681946,Caffe SSD
61,0.9475523233413696,Caffe SSD
61,0.17086875438690186,Caffe SSD
61,0.10296164453029633,Caffe SSD
61,0.10138347744941711,Caffe SSD
62,0.9972538352012634,Caffe SSD
62,0.9695531725883484,Caffe SSD
62,0.19161264598369598,Caffe SSD
62,0.10283970832824707,Caffe SSD
62,0.10074667632579803,Caffe SSD
63,0.9971492886543274,Caffe SSD
63,0.9757728576660156,Caffe SSD
63,0.19728295505046844,Caffe SSD
63,0.1032494306564331,Caffe SSD
64,0.9969545602798462,Caffe SSD
64,0.9781544804573059,Caffe SSD
64,0.15229330956935883,Caffe SSD
64,0.10867085307836533,Caffe SSD
64,0.10598259419202805,Caffe SSD
64,0.10362281650304794,Caffe SSD
65,0.99674391746521,Caffe SSD
65,0.962921142578125,Caffe SSD
65,0.13058100640773773,Caffe SSD
65,0.10903780907392502,Caffe SSD
65,0.10616922378540039,Caffe SSD
66,0.9973540306091309,Caffe SSD
66,0.9457013010978699,Caffe SSD
66,0.15334433317184448,Caffe SSD
66,0.10754294693470001,Caffe SSD
66,0.10692504793405533,Caffe SSD
67,0.9973964691162109,Caffe SSD
67,0.9598058462142944,Caffe SSD
